Country,Time,CPI,GDP Per Capita,Long-term interest rates,Unemployment rate,Year
Australia,1991-Q1,4.80427,17736.1,11.47667,8.733036,1991
Australia,1991-Q2,3.327496,17755,10.96667,9.636366,1991
Australia,1991-Q3,3.130435,17907.4,10.65667,9.833364,1991
Australia,1991-Q4,1.525424,18029,9.663333,10.21851,1991
Australia,1992-Q1,1.697793,18240.8,10.01333,10.41647,1992
Australia,1992-Q2,1.186441,18449.8,9.15,10.63335,1992
Australia,1992-Q3,0.8431703,18683.2,8.736667,10.82256,1992
Australia,1992-Q4,0.3338898,19149.3,8.98,11.14736,1992
Australia,1993-Q1,1.168614,19348.6,8.133333,10.90142,1993
Australia,1993-Q2,1.842546,19545.6,7.543334,10.84792,1993
Australia,1993-Q3,2.173913,19606.2,6.786667,10.88736,1993
Australia,1993-Q4,1.830283,20038.3,6.66,10.88678,1993
Australia,1994-Q1,1.485149,20426.8,7.12,10.43921,1994
Australia,1994-Q2,1.809211,20727.3,8.953333,9.882479,1994
Australia,1994-Q3,1.963993,21014.4,9.753333,9.475343,1994
Australia,1994-Q4,2.614379,21213.5,10.34,9.056094,1994
Australia,1995-Q1,3.739837,21279.1,10.20627,8.764318,1995
Australia,1995-Q2,4.523425,21423.4,9.2537,8.364381,1995
Australia,1995-Q3,5.136436,21919.7,8.964148,8.368678,1995
Australia,1995-Q4,5.095541,22027.2,8.419457,8.389536,1995
Australia,1996-Q1,3.761755,22379.1,8.389683,8.398993,1996
Australia,1996-Q2,3.09119,22577.7,8.879146,8.414912,1996
Australia,1996-Q3,2.137405,22714.5,8.224299,8.621119,1996
Australia,1996-Q4,1.515152,22961.8,7.3437,8.619253,1996
Australia,1997-Q1,1.359517,23127.4,7.584174,8.620052,1997
Australia,1997-Q2,0.2998501,23774.8,7.583118,8.481505,1997
Australia,1997-Q3,-0.4484305,23869,6.534975,8.373067,1997
Australia,1997-Q4,-0.2985075,24324.5,6.117407,7.975911,1997
Australia,1998-Q1,-0.1490313,24497.7,5.852667,7.839725,1998
Australia,1998-Q2,0.7473841,24775.5,5.633413,7.732865,1998
Australia,1998-Q3,1.351351,25253,5.501928,7.787007,1998
Australia,1998-Q4,1.497006,25630.7,4.983874,7.373766,1998
Australia,1999-Q1,1.19403,25749.8,5.318139,7.081403,1999
Australia,1999-Q2,1.038576,25855.4,5.813293,6.885197,1999
Australia,1999-Q3,1.777778,26175,6.272424,6.873358,1999
Australia,1999-Q4,1.917404,26709.1,6.633391,6.632904,1999
Australia,2000-Q1,2.80236,27078.9,6.901983,6.649531,2000
Australia,2000-Q2,3.0837,27480.2,6.300913,6.301172,2000
Australia,2000-Q3,6.113537,27736.1,6.175162,5.988874,2000
Australia,2000-Q4,5.788712,27647.2,5.880219,6.171136,2000
Australia,2001-Q1,6.025825,27991,5.285803,6.365377,2001
Australia,2001-Q2,6.125356,28289.5,5.805817,6.868545,2001
Australia,2001-Q3,2.469136,28685.2,5.808712,6.866661,2001
Australia,2001-Q4,3.146375,29048.7,5.560726,6.978499,2001
Australia,2002-Q1,2.976996,29391.9,6.037694,6.626519,2002
Australia,2002-Q2,2.818792,29945.5,6.172283,6.403738,2002
Australia,2002-Q3,3.212852,30122.8,5.647969,6.279473,2002
Australia,2002-Q4,2.917772,30454.9,5.517885,6.156822,2002
Australia,2003-Q1,3.285151,30535.5,5.238139,6.055339,2003
Australia,2003-Q2,2.610966,30672.6,5.058995,6.050243,2003
Australia,2003-Q3,2.594034,31259.3,5.423276,5.906245,2003
Australia,2003-Q4,2.448454,31889.6,5.746692,5.70802,2003
Australia,2004-Q1,2.035623,32275.8,5.578812,5.536528,2004
Australia,2004-Q2,2.544529,32688,5.868857,5.434944,2004
Australia,2004-Q3,2.2756,32975.9,5.570985,5.478666,2004
Australia,2004-Q4,2.515723,33335.5,5.344444,5.116823,2004
Australia,2005-Q1,2.369077,33671.1,5.467404,5.106007,2005
Australia,2005-Q2,2.48139,34005,5.300068,5.056373,2005
Australia,2005-Q3,3.090235,34589.7,5.198432,4.957851,2005
Australia,2005-Q4,2.822086,35136.4,5.393989,5.007143,2005
Australia,2006-Q1,2.923264,35382.8,5.272268,5.043497,2006
Australia,2006-Q2,3.995157,35766.9,5.689188,4.856586,2006
Australia,2006-Q3,3.956835,36476.2,5.736325,4.677674,2006
Australia,2006-Q4,3.341289,36983.6,5.653708,4.51482,2006
Australia,2007-Q1,2.485207,37603.8,5.807896,4.548557,2007
Australia,2007-Q2,2.09546,37897.9,6.011781,4.324217,2007
Australia,2007-Q3,1.845444,38278.4,6.022596,4.2546,2007
Australia,2007-Q4,2.886836,38375.2,6.135811,4.353207,2007
Australia,2008-Q1,4.272517,38650.6,6.15216,4.085536,2008
Australia,2008-Q2,4.446979,38932.1,6.370742,4.257865,2008
Australia,2008-Q3,4.983013,39559.1,5.95831,4.184369,2008
Australia,2008-Q4,3.703704,39606.9,4.790564,4.440417,2008
Australia,2009-Q1,2.436323,40148.8,4.222159,5.306463,2009
Australia,2009-Q2,1.419214,40289.5,5.024317,5.728155,2009
Australia,2009-Q3,1.186624,40337.3,5.448237,5.682353,2009
Australia,2009-Q4,2.056277,40568,5.463333,5.557149,2009
Australia,2010-Q1,2.918919,40434.8,5.551667,5.328056,2010
Australia,2010-Q2,3.121636,40805.3,5.534167,5.29016,2010
Australia,2010-Q3,2.878465,41209.5,5.039166,5.124016,2010
Australia,2010-Q4,2.757158,42007.3,5.339167,5.089654,2010
Australia,2011-Q1,3.256303,42606.1,5.521667,4.966403,2011
Australia,2011-Q2,3.549061,43476.5,5.3325,4.962538,2011
Australia,2011-Q3,3.419689,43916.9,4.571667,5.193909,2011
Australia,2011-Q4,2.992776,43565.7,4.0925,5.204684,2011
Australia,2012-Q1,1.62767,42908.4,3.971667,5.140111,2012
Australia,2012-Q2,1.209677,42795,3.376667,5.118497,2012
Australia,2012-Q3,2.004008,43133,3.055833,5.274705,2012
Australia,2012-Q4,2.204409,43977.7,3.1125,5.366118,2012
Australia,2013-Q1,2.502502,45471.8,3.469167,5.473925,2013
Australia,2013-Q2,2.390438,46519,3.374667,5.630434,2013
