gvkey,datadate,tic,conm,datacqtr,datafqtr,ltq,seqq,capxy,revty
2285,3/31/2004,BA,BOEING CO,2004Q1,2004Q1,44941,8859,182,12903
2285,6/30/2004,BA,BOEING CO,2004Q2,2004Q2,45334,8949,294,25991
2285,9/30/2004,BA,BOEING CO,2004Q3,2004Q3,45846,9542,626,39143
2285,12/31/2004,BA,BOEING CO,2004Q4,2004Q4,42677,11286,978,52457
2285,3/31/2005,BA,BOEING CO,2005Q1,2005Q1,45236,11478,307,12681
2285,6/30/2005,BA,BOEING CO,2005Q2,2005Q2,45362,11132,787,27365
2285,9/30/2005,BA,BOEING CO,2005Q3,2005Q3,48895,9423,1074,39720
2285,12/31/2005,BA,BOEING CO,2005Q4,2005Q4,48999,11059,1547,53621
2285,3/31/2006,BA,BOEING CO,2006Q1,2006Q1,49891,11517,412,14264
2285,6/30/2006,BA,BOEING CO,2006Q2,2006Q2,50900,10369,745,29250
2285,9/30/2006,BA,BOEING CO,2006Q3,2006Q3,50432,11026,1093,43989
2285,12/31/2006,BA,BOEING CO,2006Q4,2006Q4,47055,4739,1681,61530
2285,3/31/2007,BA,BOEING CO,2007Q1,2007Q1,45945,5611,451,15365
2285,6/30/2007,BA,BOEING CO,2007Q2,2007Q2,48029,5857,865,32393
2285,9/30/2007,BA,BOEING CO,2007Q3,2007Q3,48381,6406,1282,48910
2285,12/31/2007,BA,BOEING CO,2007Q4,2007Q4,49982,9004,1731,66387
2285,3/31/2008,BA,BOEING CO,2008Q1,2008Q1,51294,9066,409,15990
2285,6/30/2008,BA,BOEING CO,2008Q2,2008Q2,49916,8594,807,32952
2285,9/30/2008,BA,BOEING CO,2008Q3,2008Q3,47805,8714,1229,48245
2285,12/31/2008,BA,BOEING CO,2008Q4,2008Q4,55073,-1294,1674,60909
2285,3/31/2009,BA,BOEING CO,2009Q1,2009Q1,55849,-662,442,16502
2285,6/30/2009,BA,BOEING CO,2009Q2,2009Q2,57378,180,736,33656
2285,9/30/2009,BA,BOEING CO,2009Q3,2009Q3,59544,-1028,965,50344
2285,12/31/2009,BA,BOEING CO,2009Q4,2009Q4,59828,2128,1186,68281
2285,3/31/2010,BA,BOEING CO,2010Q1,2010Q1,59931,2942,186,15216
2285,6/30/2010,BA,BOEING CO,2010Q2,2010Q2,60582,3077,443,30789
2285,9/30/2010,BA,BOEING CO,2010Q3,2010Q3,60670,4454,725,47756
2285,12/31/2010,BA,BOEING CO,2010Q4,2010Q4,65703,2766,1125,64306
2285,3/31/2011,BA,BOEING CO,2011Q1,2011Q1,64753,3912,417,14910
2285,6/30/2011,BA,BOEING CO,2011Q2,2011Q2,67295,4733,762,31453
2285,9/30/2011,BA,BOEING CO,2011Q3,2011Q3,68102,5967,1142,49180
2285,12/31/2011,BA,BOEING CO,2011Q4,2011Q4,76378,3515,1713,68735
2285,3/31/2012,BA,BOEING CO,2012Q1,2012Q1,75085,5027,424,19383
2285,6/30/2012,BA,BOEING CO,2012Q2,2012Q2,75703,5804,780,39388
2285,9/30/2012,BA,BOEING CO,2012Q3,2012Q3,75972,7588,1208,59396
2285,12/31/2012,BA,BOEING CO,2012Q4,2012Q4,82929,5867,1703,81698
2285,3/31/2013,BA,BOEING CO,2013Q1,2013Q1,82887,7462,521,18893
2285,6/30/2013,BA,BOEING CO,2013Q2,2013Q2,84459,7526,976,40708
2285,9/30/2013,BA,BOEING CO,2013Q3,2013Q3,85566,8951,1460,62838
2285,12/31/2013,BA,BOEING CO,2013Q4,2013Q4,77666,14875,2098,86623
2285,3/31/2014,BA,BOEING CO,2014Q1,2014Q1,76942,14520,497,20465
4839,3/31/2004,F,FORD MOTOR CO,2004Q1,2004Q1,286457,12882,1280,44723
4839,6/30/2004,F,FORD MOTOR CO,2004Q2,2004Q2,279267,13561,2790,87596
4839,9/30/2004,F,FORD MOTOR CO,2004Q3,2004Q3,273796,14069,4902,126717
4839,12/31/2004,F,FORD MOTOR CO,2004Q4,2004Q4,275732,16045,6745,171646
4839,3/31/2005,F,FORD MOTOR CO,2005Q1,2005Q1,264072,15670,1561,44895
4839,6/30/2005,F,FORD MOTOR CO,2005Q2,2005Q2,261825,14203,3572,90061
4839,9/30/2005,F,FORD MOTOR CO,2005Q3,2005Q3,253250,13987,5462,130571
4839,12/31/2005,F,FORD MOTOR CO,2005Q4,2005Q4,254895,13442,7517,176896
